"","Subject","NRX","NRXT","PRX","PRXT","FBM","W8","cue_f","cue_t","cue_g","P_Weekly","P_Daily","SRBAI","RR","FHS","FFriend","Devices","FBTime","COND","MDPoint","COND2","PW2","COND3","HS","CONDH"
"192",200,2,720,4,168,3,7,4,336,4,4,0.1,2,6,1,657,2,12,1,4,0.5,-1.06068642884228,1,-0.424206898321922,1
"193",201,7,1,7,1,6,2,4,0,4,23,1,3,9,1,728,1,7,3,4,3,0.874961492882938,2,0.220057328504497,2
"194",202,6,6,7,3,5,1,3,3,2,28,3,6.5,6.75,4,371,2,16,3,4,3,1.38434252491589,2,2.47498212239696,2
"195",203,2,168,5,8,3,3,4,24,2,5,0,1,7.375,1,472,2,15,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"196",204,4,1,5,2,1,2,5,1,5,26,1,4,6.75,1.33333333333333,191,1,5,3,4,3,1.18059011210271,2,0.864321555330915,2
"197",205,3,96,6,48,3,6,4,48,4,23,1,4.25,6.25,2,280,2,7,3,4,3,0.874961492882938,2,1.02538761203752,2
"198",206,5,1,5,1,3,2,4,1,2,10,2,4.25,5.625,2.33333333333333,50,2,10,2,4,2,-0.449429190402736,1,1.02538761203752,2
"199",207,2,168,4,12,2,1,4,2,2,1,0,1,6,1,579,1,11,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"200",208,2,448,6,96,6,5,4,96,4,11,0,4,7.5,1,300,2,5,2,4,2,-0.347552983996146,1,0.864321555330915,2
"201",209,1,168,4,51,2,2,4,24,4,18,1,3,6.625,1,359,2,15,3,4,2,0.365580460849987,2,0.220057328504497,2
"202",210,3,120,5,54,4,3,4,120,5,1,0,2,6.625,1,260,2,16,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"203",211,2,96,6,1,6,5,4,1,2,14,3,2.5,5.875,1,141,1,9,2,4,2,-0.0419243647763746,1,-0.102074784908712,1
"204",212,3,126,5,25,2,1,2,25,3,5,0,1,5.125,1,50,1,12,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"205",213,5,1,4,24,5,6,5,12,6,5,0,1,6,1,423,3,16,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"206",214,2,168,6,12,5,3,5,12,5,26,0.25,3.75,5.25,2.66666666666667,125,4,3,3,4,3,1.18059011210271,2,0.70325549862431,2
"207",215,3,12,5,4,5,4,5,4,4,14,3,6,8.75,1,390,2,9,2,4,2,-0.0419243647763746,1,2.15285000898375,2
"208",216,5,24,6,2,3,2,5,1,5,18,0,2.75,6.625,1.33333333333333,168,2,8,3,4,2,0.365580460849987,2,0.0589912717978921,2
"209",217,4,2,4,2,5,1,4,2,4,16,3,5,6.25,2,150,2,16,3,4,2,0.161828048036806,2,1.50858578215733,2
"210",218,3,77,5,29,5,2,4,29,5,27,10,1.25,5.875,1,328,2,14,3,4,3,1.2824663185093,2,-0.907405068441735,1
"211",219,2,336,6,3,5,5,5,3,4,29,1,3,6.625,2.66666666666667,500,3,10,3,4,3,1.48621873132248,2,0.220057328504497,2
"212",220,4,120,5,72,3,2,4,72,3,11,0,1.5,7.125,1,430,1,10,2,4,2,-0.347552983996146,1,-0.746339011735131,1
"213",221,3,18,4,8,5,2,4,8,4,6,2,4.75,6.75,2,152,2,14,1,4,0.5,-0.856934016029097,1,1.34751972545073,2
"214",222,2,168,6,1,2,2,4,2,4,15,3,5.5,5.625,3.33333333333333,250,2,12,2,4,2,0.0599518416302158,2,1.83071789557054,2
"215",223,1,720,5,24,6,7,4,24,2,5,0,2,5.5,1,105,2,3,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"216",224,3,25,4,25,3,4,4,25,3,26,1,4,5,3.66666666666667,500,1,5,3,4,3,1.18059011210271,2,0.864321555330915,2
"217",225,2,336,6,72,5,5,3,24,3,5,0,2,5.375,1.66666666666667,35,3,12,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"218",226,2,96,7,12,5,5,4,12,4,5,1,4,8.5,2,435,1,10,1,4,0.5,-0.958810222435688,1,0.864321555330915,2
"219",227,4,26,4,25,6,5,4,25,1,23,1,1.75,8.875,2,12,2,9,3,4,3,0.874961492882938,2,-0.585272955028526,1
"220",228,4,48,4,1,3,2,4,1,2,30,10,2,7.625,1,148,2,15,3,4,3,1.58809493772907,2,-0.424206898321922,1
"221",229,1,234,7,48,5,6,4,12,4,18,60,6,5.75,4.33333333333333,500,2,10,3,4,2,0.365580460849987,2,2.15285000898375,2
"222",230,4,0,4,0,4,4,4,0,7,30,10,3.25,6.5,1,2500,3,14,3,4,3,1.58809493772907,2,0.381123385211101,2
"223",231,7,0.25,7,0.5,2,1,4,0.5,4,19,10,6,6.875,3,280,3,10,3,4,2,0.467456667256577,2,2.15285000898375,2
"224",232,3,24,6,2,4,3,5,2,5,14,3,3,5.5,2,479,5,12,2,4,2,-0.0419243647763746,1,0.220057328504497,2
"225",233,3,1,7,1,5,5,4,1,4,27,8,5.75,7.75,4.33333333333333,1395,3,13,3,4,3,1.2824663185093,2,1.99178395227715,2
"226",234,2,120,6,24,4,3,4,0,4,5,1,3,5.125,2.33333333333333,176,2,14,1,4,0.5,-0.958810222435688,1,0.220057328504497,2
"227",235,2,336,4,240,4,3,4,240,3,1,0,1,4.75,1,245,3,13,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"228",236,3,24,4,72,5,2,4,72,2,11,0.5,1.25,5.625,1.33333333333333,730,2,17,2,4,2,-0.347552983996146,1,-0.907405068441735,1
"229",237,4,24,4,24,4,1,4,24,1,5,0.5,1,7.25,1,500,1,20,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"230",238,4,12,4,12,4,4,4,3,3,20,5,4,5.25,4,2332,6,10,3,4,3,0.569332873663167,2,0.864321555330915,2
"231",239,4,8,4,8,2,5,2,1,2,26,1,5.25,6.125,5,300,2,8,3,4,3,1.18059011210271,2,1.66965183886394,2
"232",240,3,336,5,120,5,4,4,240,2,5,0,1,4,1,180,2,9,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"233",241,4,120,4,120,1,1,4,120,4,5,0,1,6.875,1,150,1,10,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"234",242,3,23,6,4,5,4,4,0,3,26,1,3.5,5.375,4,88,3,11,3,4,3,1.18059011210271,2,0.542189441917706,2
"235",243,5,121,4,25,2,2,4,25,1,23,1,3,8.125,1,325,3,7,3,4,3,0.874961492882938,2,0.220057328504497,2
"236",244,1,504,4,72,3,2,4,72,2,11,0,2,2.75,2,86,1,7,2,4,2,-0.347552983996146,1,-0.424206898321922,1
"237",245,2,48,7,3,5,5,4,24,5,1,0,1,5.125,1,36,2,12,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"238",246,1,1440,4,720,5,7,4,720,1,1,0,1,5.875,1,500,2,8,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"239",247,4,3,5,1,1,1,4,1,4,18,0,1.25,9,1,500,1,5,3,4,2,0.365580460849987,2,-0.907405068441735,1
"240",248,3,20,6,1,5,6,4,10,4,5,0,1,5.375,1,6,2,7,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"241",249,6,0,4,0,2,1,4,0,4,11,0,1,6.25,1,200,2,10,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"242",250,3,24,5,4,5,4,4,6,5,5,0,2,4.375,1,180,3,13,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"243",251,3,96,6,24,6,4,4,48,4,18,0.5,2,7.125,1,475,2,12,3,4,2,0.365580460849987,2,-0.424206898321922,1
